2018-02-12T18:48:35+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36	http://lifedeco/thiet-ke-noi-that-phong-khach-nha-pho-dep-n-7	GET	http://lifedeco/css/font-style-2.css
2018-02-12T18:48:36+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/frontend/css/style.css	GET	http://lifedeco/frontend/images/ui/arrow-down.png
2018-02-12T18:48:38+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/frontend/css/style.css	GET	http://lifedeco/frontend/images/ui/arrow-up.png
2018-02-12T18:48:39+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/can-ho-chung-cu-pc-8	GET	http://lifedeco/css/font-style-2.css
2018-02-12T18:48:39+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/frontend/css/style.css	GET	http://lifedeco/frontend/images/ui/arrow-down.png
2018-02-12T18:48:46+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/frontend/css/style.css	GET	http://lifedeco/frontend/images/ui/arrow-up.png
2018-02-12T18:50:43+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/can-ho-chung-cu-pc-8	GET	http://lifedeco/css/font-style-2.css
2018-02-12T18:50:55+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/	GET	http://lifedeco/css/font-style-2.css
2018-02-12T18:52:31+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/	GET	http://lifedeco/images/portfolio-new/pf%20%281%29.jpg
2018-02-12T18:52:31+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/	GET	http://lifedeco/images/portfolio-new/pf%20%285%29.jpg
2018-02-12T18:52:31+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Mobile Safari/537.36	http://lifedeco/	GET	http://lifedeco/images/portfolio-new/pf%20%286%29.jpg
